CMDLINE python testHEBmem.py 10 2 20 300
MEM 0.343750 1482159740.5855
MEM 11.757812 1482159740.6896
MEM 17.335938 1482159740.7908
MEM 23.058594 1482159740.8913
MEM 25.113281 1482159740.9925
MEM 27.414062 1482159741.0966
MEM 30.140625 1482159741.2008
MEM 34.976562 1482159741.3026
MEM 39.218750 1482159741.4048
MEM 39.535156 1482159741.5065
MEM 50.144531 1482159741.6112
MEM 50.582031 1482159741.7155
MEM 60.230469 1482159741.8199
MEM 61.183594 1482159741.9249
MEM 61.953125 1482159742.0295
MEM 62.625000 1482159742.1300
MEM 63.371094 1482159742.2303
MEM 69.585938 1482159742.3325
MEM 74.515625 1482159742.4377
MEM 75.199219 1482159742.5400
MEM 75.519531 1482159742.6403
MEM 75.996094 1482159742.7454
MEM 75.804688 1482159742.8495
MEM 77.683594 1482159742.9541
MEM 78.539062 1482159743.0554
MEM 81.089844 1482159743.1556
MEM 81.894531 1482159743.2604
MEM 81.972656 1482159743.3645
MEM 81.726562 1482159743.4674
MEM 80.843750 1482159743.5719
MEM 80.148438 1482159743.6724
MEM 80.824219 1482159743.7733
MEM 81.550781 1482159743.8735
MEM 81.238281 1482159743.9758
MEM 82.343750 1482159744.0808
MEM 82.703125 1482159744.1831
MEM 83.441406 1482159744.2837
MEM 84.621094 1482159744.3863
MEM 84.832031 1482159744.4903
MEM 85.925781 1482159744.5905
MEM 86.937500 1482159744.6952
MEM 87.664062 1482159744.8005
MEM 87.289062 1482159744.9059
MEM 88.378906 1482159745.0111
MEM 87.894531 1482159745.1163
MEM 88.957031 1482159745.2184
MEM 90.039062 1482159745.3236
MEM 89.359375 1482159745.4288
MEM 90.449219 1482159745.5341
MEM 91.066406 1482159745.6393
MEM 92.128906 1482159745.7405
MEM 93.187500 1482159745.8458
MEM 94.089844 1482159745.9485
MEM 93.222656 1482159746.0507
MEM 94.265625 1482159746.1540
MEM 95.371094 1482159746.2592
MEM 95.289062 1482159746.3645
MEM 96.300781 1482159746.4699
MEM 97.402344 1482159746.5751
MEM 98.460938 1482159746.6804
MEM 96.605469 1482159746.7809
MEM 97.644531 1482159746.8824
MEM 98.652344 1482159746.9847
MEM 99.667969 1482159747.0876
MEM 99.890625 1482159747.1882
MEM 100.882812 1482159747.2905
MEM 102.871094 1482159747.3911
MEM 117.652344 1482159747.4919
MEM 134.851562 1482159747.5951
MEM 151.054688 1482159747.6953
MEM 173.757812 1482159747.7977
MEM 173.757812 1482159747.9019
MEM 157.074219 1482159748.0069
MEM 157.074219 1482159748.1112
MEM 157.265625 1482159748.2156
MEM 160.593750 1482159748.3206
MEM 170.585938 1482159748.4220
MEM 170.671875 1482159748.5232
MEM 170.683594 1482159748.6240
